TF_ID	Gene_ID	Family
orange1.1g017035m	orange1.1g017035m.g	RAV
orange1.1g021945m	orange1.1g021945m.g	RAV
orange1.1g020733m	orange1.1g018549m.g	RAV
orange1.1g018549m	orange1.1g018549m.g	RAV
orange1.1g046898m	orange1.1g046898m.g	RAV
orange1.1g001315m	orange1.1g001317m.g	SBP
orange1.1g001317m	orange1.1g001317m.g	SBP
orange1.1g001365m	orange1.1g001365m.g	CAMTA
orange1.1g001376m	orange1.1g001378m.g	NF-X1
orange1.1g001377m	orange1.1g001378m.g	NF-X1
orange1.1g001378m	orange1.1g001378m.g	NF-X1
orange1.1g001406m	orange1.1g001406m.g	CAMTA
orange1.1g001410m	orange1.1g001406m.g	CAMTA
orange1.1g001436m	orange1.1g001406m.g	CAMTA
orange1.1g001453m	orange1.1g001317m.g	SBP
orange1.1g001474m	orange1.1g001365m.g	CAMTA
orange1.1g001741m	orange1.1g001741m.g	Trihelix
orange1.1g001754m	orange1.1g001759m.g	CAMTA
orange1.1g001756m	orange1.1g001759m.g	CAMTA
orange1.1g001759m	orange1.1g001759m.g	CAMTA
orange1.1g001774m	orange1.1g001774m.g	Nin-like
orange1.1g001809m	orange1.1g001774m.g	Nin-like
orange1.1g001971m	orange1.1g001971m.g	SBP
orange1.1g001972m	orange1.1g001759m.g	CAMTA
orange1.1g002028m	orange1.1g001317m.g	SBP
orange1.1g002062m	orange1.1g002062m.g	FAR1
orange1.1g002122m	orange1.1g001971m.g	SBP
orange1.1g002144m	orange1.1g002144m.g	Nin-like
orange1.1g002213m	orange1.1g002213m.g	CPP
orange1.1g002317m	orange1.1g002317m.g	Nin-like
orange1.1g002319m	orange1.1g002317m.g	Nin-like
orange1.1g002322m	orange1.1g002317m.g	Nin-like
orange1.1g002476m	orange1.1g002476m.g	CAMTA
orange1.1g002479m	orange1.1g002476m.g	CAMTA
orange1.1g002539m	orange1.1g001365m.g	CAMTA
orange1.1g002868m	orange1.1g002868m.g	SBP
orange1.1g002916m	orange1.1g002868m.g	SBP
orange1.1g002919m	orange1.1g002868m.g	SBP
orange1.1g002922m	orange1.1g002868m.g	SBP
orange1.1g003063m	orange1.1g001971m.g	SBP
orange1.1g003097m	orange1.1g002476m.g	CAMTA
orange1.1g003098m	orange1.1g002476m.g	CAMTA
